Código do Ente;Nome do Ente;Sigla UF;Valor do Nível Socioeconômico;Ponderador do NSE entre 0,95 e 1,05
11;Rondônia;AC;49,623673;1,002773
12;Acre;AC;43,806430;1,017846
13;Amazonas;AC;44,981367;1,014802
14;Roraima;AC;46,152118;1,011768
15;Pará;AC;41,220811;1,024546
16;Amapá;AC;45,102333;1,014488
17;Tocantins;AC;46,095652;1,011915
21;Maranhão;AC;39,367662;1,029347
22;Piauí;AC;40,399915;1,026673
23;Ceará;AC;40,496672;1,026422
24;Rio Grande do Norte;AC;44,884166;1,015054
25;Paraíba;AC;42,933772;1,020107
26;Pernambuco;AC;45,577335;1,013258
27;Alagoas;AC;42,002173;1,022521
28;Sergipe;AC;42,811421;1,020424
29;Bahia;AC;43,775150;1,017927
31;Minas Gerais;AC;52,184546;0,996138
32;Espírito Santo;AC;51,402529;0,998164
33;Rio de Janeiro;AC;51,091394;0,998970
35;São Paulo;AC;56,712394;0,984406
41;Paraná;AC;57,489106;0,982394
42;Santa Catarina;AC;60,259735;0,975215
43;Rio Grande do Sul;AC;57,784547;0,981628
50;Mato Grosso do Sul;AL;52,677194;0,994862
51;Mato Grosso;AL;51,375203;0,998235
52;Goiás;AL;51,430977;0,998091
53;Distrito Federal;AL;55,567768;0,987372
1100015;Alta Floresta D'Oeste;AL;48,994213;1,004404
1100023;Ariquemes;AL;48,343808;1,006090
1100031;Cabixi;AL;50,999446;0,999209
1100049;Cacoal;AL;49,511947;1,003063
1100056;Cerejeiras;AL;51,047427;0,999084
1100064;Colorado do Oeste;AL;52,130456;0,996278
1100072;Corumbiara;AL;47,976676;1,007041
1100080;Costa Marques;AL;47,111128;1,009284
1100098;Espigão D'Oeste;AL;48,504698;1,005673
1100106;Guajará-Mirim;AL;47,667127;1,007843
1100114;Jaru;AL;48,069825;1,006799
1100122;Ji-Paraná;AL;51,048575;0,999081
1100130;Machadinho D'Oeste;AL;46,182564;1,011689
1100148;Nova Brasilândia D'Oeste;AL;48,647669;1,005302
1100155;Ouro Preto do Oeste;AL;50,613022;1,000210
1100189;Pimenta Bueno;AL;50,598137;1,000249
1100205;Porto Velho;AL;49,175079;1,003936
1100254;Presidente Médici;AL;50,119648;1,001488
1100262;Rio Crespo;AL;47,880574;1,007290
1100288;Rolim de Moura;AL;50,967571;0,999291
1100296;Santa Luzia D'Oeste;AL;49,635951;1,002742
1100304;Vilhena;AL;52,156775;0,996210
1100320;São Miguel do Guaporé;AL;47,952888;1,007102
1100338;Nova Mamoré;AL;46,624726;1,010544
1100346;Alvorada D'Oeste;AL;48,531514;1,005603
1100379;Alto Alegre dos Parecis;AL;46,512793;1,010834
1100403;Alto Paraíso;AL;46,155121;1,011761
1100452;Buritis;AL;47,273965;1,008862
1100502;Novo Horizonte do Oeste;AL;47,928639;1,007165
1100601;Cacaulândia;AL;47,401970;1,008530
1100700;Campo Novo de Rondônia;AL;46,566764;1,010694
1100809;Candeias do Jamari;AL;46,804510;1,010078
1100908;Castanheiras;AL;47,331567;1,008712
1100924;Chupinguaia;AL;50,014708;1,001760
1100940;Cujubim;AL;46,814551;1,010052
1101005;Governador Jorge Teixeira;AL;46,925161;1,009765
1101104;Itapuã do Oeste;AL;46,339510;1,011283
1101203;Ministro Andreazza;AL;47,495680;1,008287
1101302;Mirante da Serra;AL;47,614287;1,007980
1101401;Monte Negro;AL;47,099956;1,009313
1101435;Nova União;AL;46,678043;1,010406
1101450;Parecis;AL;48,141828;1,006613
1101468;Pimenteiras do Oeste;AL;50,013349;1,001764
1101476;Primavera de Rondônia;AL;49,256870;1,003724
1101484;São Felipe D'Oeste;AL;47,739460;1,007656
1101492;São Francisco do Guaporé;AL;48,384818;1,005983
1101500;Seringueiras;AL;47,107324;1,009293
1101559;Teixeirópolis;AL;47,273092;1,008864
1101609;Theobroma;AL;45,839759;1,012578
1101708;Urupá;AL;47,417857;1,008489
1101757;Vale do Anari;AL;46,417888;1,011080
1101807;Vale do Paraíso;AL;46,772798;1,010160
1200013;Acrelândia;AL;45,147469;1,014371
1200054;Assis Brasil;AL;41,469375;1,023902
1200104;Brasiléia;AL;45,116529;1,014452
1200138;Bujari;AL;42,141271;1,022161
1200179;Capixaba;AL;42,708119;1,020692
1200203;Cruzeiro do Sul;AL;40,787255;1,025669
1200252;Epitaciolândia;AL;43,969419;1,017424
1200302;Feijó;AL;36,867051;1,035826
1200328;Jordão;AL;36,874567;1,035807
1200336;Mâncio Lima;AL;40,015776;1,027668
1200344;Manoel Urbano;AL;41,757620;1,023155
1200351;Marechal Thaumaturgo;AL;33,406609;1,044793
1200385;Plácido de Castro;AL;43,147567;1,019553
1200393;Porto Walter;AL;36,909142;1,035717
1200401;Rio Branco;AL;46,524835;1,010803
1200427;Rodrigues Alves;AL;37,556711;1,034039
1200435;Santa Rosa do Purus;AL;38,554311;1,031455
1200450;Senador Guiomard;AL;43,312809;1,019125
1200500;Sena Madureira;AL;42,052543;1,022391
1200609;Tarauacá;AL;38,888760;1,030588
1200708;Xapuri;AL;42,629016;1,020897
1200807;Porto Acre;AL;42,262696;1,021846
1300029;Alvarães;AL;37,186101;1,035000
1300060;Amaturá;AL;32,052348;1,048302
1300086;Anamã;AL;38,988206;1,030330
1300102;Anori;AL;41,124748;1,024795
1300144;Apuí;AL;44,988666;1,014783
1300201;Atalaia do Norte;AL;37,862815;1,033246
1300300;Autazes;AL;40,032398;1,027625
1300409;Barcelos;AL;40,544831;1,026297
1300508;Barreirinha;AL;35,229494;1,040069
1300607;Benjamin Constant;AL;34,386421;1,042254
1300631;Beruri;AL;37,075025;1,035287
1300680;Boa Vista do Ramos;AL;38,709988;1,031051
1300706;Boca do Acre;AL;42,265410;1,021839
1300805;Borba;AL;36,174224;1,037622
1300839;Caapiranga;AL;39,177000;1,029841
1300904;Canutama;AL;43,070330;1,019753
1301001;Carauari;AL;37,526326;1,034118
1301100;Careiro;AL;41,503649;1,023813
1301159;Careiro da Várzea;AL;40,276022;1,026994
1301209;Coari;AL;39,317644;1,029477
1301308;Codajás;AL;39,749412;1,028358
1301407;Eirunepé;AL;37,231925;1,034881
1301506;Envira;AL;35,882144;1,038378
1301605;Fonte Boa;AL;39,112030;1,030010
1301654;Guajará;AL;37,314940;1,034666
1301704;Humaitá;AM;42,613684;1,020937
1301803;Ipixuna;AM;35,588449;1,039139
1301852;Iranduba;AM;44,332312;1,016484
1301902;Itacoatiara;AM;41,286132;1,024376
1301951;Itamarati;AM;36,991404;1,035504
1302009;Itapiranga;AM;42,455441;1,021347
1302108;Japurá;AM;35,446066;1,039508
1302207;Juruá;AM;37,370323;1,034522
1302306;Jutaí;AM;38,064849;1,032723
1302405;Lábrea;AM;41,362530;1,024178
1302504;Manacapuru;AM;41,451569;1,023948
1302553;Manaquiri;AM;40,799105;1,025638
1302603;Manaus;AM;47,850814;1,007367
1302702;Manicoré;AM;39,384137;1,029305
1302801;Maraã;AM;36,492410;1,036797
1302900;Maués;AM;38,104528;1,032620
